year,constructor,constructor_clean,constructor_alt
1950,Adams Offenhauser,Adams,
1950,Alfa Romeo,Alfa Romeo,
1950,Alta,Alta,
1950,Cooper JAP,Cooper,
1950,Deidt Offenhauser,Deidt,
1950,ERA,ERA,
1950,Ewing Offenhauser,Ewing,
1950,Ferrari,Ferrari,
1950,Ferrari Jaguar,Ferrari,
1950,Kurtis Kraft Cummins,Kurtis Kraft,
1950,Kurtis Kraft Offenhauser,Kurtis Kraft,
1950,Langley Offenhauser,Langley,
1950,Lesovsky Offenhauser,Lesovsky,
1950,Marchese Offenhauser,Marchese,
1950,Maserati,Maserati,
1950,Maserati Milano,Maserati Milano,
1950,Maserati Offenhauser,Maserati,
1950,Moore Offenhauser,Moore,
1950,Nichels Offenhauser,Nichels,
1950,Olson Offenhauser,Olson,
1950,Rae Offenhauser,Rae,
1950,Simca-Gordini,Simca-Gordini,
1950,Snowberger Offenhauser,Snowberger,
1950,Stevens Offenhauser,Stevens,
1950,Talbot-Lago,Talbot-Lago,
1950,Watson Offenhauser,Watson,
1950,Wetteroth Offerhauser,Wetteroth,
1951,Alfa Romeo,Alfa Romeo,
1951,Alta,Alta,
1951,BRM,BRM,
1951,Bromme Offenhauser,Bromme,
1951,Deidt Offenhauser,Deidt,
1951,ERA,ERA,
1951,Ferrari,Ferrari,
1951,Hall Offenhauser,Hall,
1951,HWM Alta,HWM,
1951,Kurtis Kraft Novi,Kurtis Kraft,
1951,Kurtis Kraft Offenhauser,Kurtis Kraft,
1951,Kuzma Offenhauser,Kuzma,
1951,Lesovsky Offenhauser,Lesovsky,
1951,Marchese Offenhauser,Marchese,
1951,Maserati,Maserati,
1951,Maserati Milano,Maserati Milano,
1951,Maserati OSCA,Maserati,
1951,Maserati-Offenhauser,Maserati,
1951,Moore Offenhauser,Moore,
1951,OSCA,OSCA,
1951,Pawl Offenhauser,Pawl,
1951,Schroeder Offenhauser,Schroeder,
1951,Sherman Offenhauser,Sherman,
1951,Simca-Gordini,Simca-Gordini,
1951,Talbot-Lago,Talbot-Lago,
1951,Thin Wall Ferrari,Ferrari,
1951,Trevis Offenhauser,Trevis,
1951,Veritas,Veritas,
1951,Watson Offenhauser,Watson,
1952,AFM BMW,AFM,
1952,AFM Kuchen,AFM,
1952,Alta,Alta,
1952,Aston Butterworth,Aston,
1952,BMW,BMW,
1952,Bromme Offenhauser,Bromme,
1952,Connaught Lea Francis,Connaught,
1952,Cooper Bristol,Cooper,
1952,Deidt Offenhauser,Deidt,
1952,ERA Bristol,ERA,
1952,Ferrari,Ferrari,
1952,Frazer Nash,Frazer Nash,
1952,Frazer Nash Bristol,Frazer Nash,
1952,Gordini,Gordini,
1952,HWM Alta,HWM,
1952,Kurtis Kraft Cummins,Kurtis Kraft,
1952,Kurtis Kraft Novi,Kurtis Kraft,
1952,Kurtis Kraft Offenhauser,Kurtis Kraft,
1952,Kuzma Offenhauser,Kuzma,
1952,Lesovsky Offenhauser,Lesovsky,
1952,Maserati,Maserati,
1952,Maserati Plate,Maserati,
1952,OSCA,OSCA,
1952,Sherman Offenhauser,Sherman,
1952,Simca-Gordini,Simca-Gordini,
1952,Stevens Offenhauser,Stevens,
1952,Trevis Offenhauser,Trevis,
1952,Veritas,Veritas,
1952,Watson Offenhauser,Watson,
1953,AFM BMW,AFM,
1953,AFM Bristol,AFM,
1953,BMW,BMW,
1953,Bromme Offenhauser,Bromme,
1953,Connaught Lea Francis,Connaught,
1953,Cooper Alta,Cooper,
1953,Cooper Bristol,Cooper,
1953,Del Roy Offenhauser,Del Roy,
1953,EMW,EMW,
1953,Ferrari,Ferrari,
1953,Gordini,Gordini,
1953,HWM Alta,HWM,
1953,Kurtis Kraft Novi,Kurtis Kraft,
1953,Kurtis Kraft Offenhauser,Kurtis Kraft,
1953,Kuzma Offenhauser,Kuzma,
1953,Lesovsky Offenhauser,Lesovsky,
1953,Maserati,Maserati,
1953,OSCA,OSCA,
1953,Schroeder Offenhauser,Schroeder,
1953,Simca-Gordini,Simca-Gordini,
1953,Stevens Offenhauser,Stevens,
1953,Turner Offenhauser,Turner,
1953,Veritas,Veritas,
1953,Watson Offenhauser,Watson,
1954,Bromme Offenhauser,Bromme,
1954,Connaught Lea Francis,Connaught,
1954,Cooper Alta,Cooper,
1954,Cooper Bristol,Cooper,
1954,Ferrari,Ferrari,
1954,Gordini,Gordini,
1954,HWM Alta,HWM,
1954,Klenk BMW,Klenk,
1954,Kurtis Kraft Offenhauser,Kurtis Kraft,
1954,Kuzma Offenhauser,Kuzma,
1954,Lancia,Lancia,
1954,Maserati,Maserati,
1954,Mercedes-Benz,Mercedes,
1954,Nichels Offenhauser,Nichels,
1954,Pankratz Offenhauser,Pankratz,
1954,Pawl Offenhauser,Pawl,
1954,Phillips Offenhauser,Phillips,
1954,Schroeder Offenhauser,Schroeder,
1954,Stevens Offenhauser,Stevens,
1954,Vanwall,Vanwall,
1955,Connaught Alta,Connaught,
1955,Cooper Bristol,Cooper,
1955,Epperly Offenhauser,Epperly,
1955,Ferrari,Ferrari,
1955,Gordini,Gordini,
1955,Kurtis Kraft Offenhauser,Kurtis Kraft,
1955,Kuzma Offenhauser,Kuzma,
1955,Lancia,Lancia,
1955,Maserati,Maserati,
1955,Mercedes-Benz,Mercedes,
1955,Pankratz Offenhauser,Pankratz,
1955,Pawl Offenhauser,Pawl,
1955,Phillips Offenhauser,Phillips,
1955,Schroeder Offenhauser,Schroeder,
1955,Stevens Offenhauser,Stevens,
1955,Trevis Offenhauser,Trevis,
1955,Vanwall,Vanwall,
1956,BRM,BRM,
1956,Bugatti,Bugatti,
1956,Connaught Alta,Connaught,
1956,Cooper Bristol,Cooper,
1956,Emeryson Alta,Emeryson,
1956,Ferrari,Ferrari,
1956,Gordini,Gordini,
1956,Kurtis Kraft Novi,Kurtis Kraft,
